email,label
Thank you for your order. Your package will arrive by tomorrow.,0
Reminder: The weekly sync is scheduled for Friday at 10 AM.,0
Limited time offer: buy one get one free! Shop now before the deal expires.,1
Thank you for your request. Your package will arrive by within 3 days.,0
Win a iPhone 14! Just provide your phone number to enter the lottery.,1
Thank you for your request. Your package will arrive by next week.,0
Win a luxury watch! Just provide your email address to enter the lottery.,1
Win a luxury watch! Just provide your phone number to enter the lottery.,1
Exclusive deal: Get 40% cashback on every transaction. Join now!,1
Thank you for your order. Your package will arrive by next week.,0
"Hi Jessica, the strategy session agenda is ready for review. Please share feedback.",0
Congratulations! You've won a $1000 Walmart gift card! Click here to claim your voucher.,1
Thank you for your purchase. Your package will arrive by within 3 days.,0
Your account is at risk! Reset your password immediately to secure it.,1
"Hi Sarah, can you send me the project proposal by tomorrow?",0
"Hi Sarah, can you send me the status update by tomorrow?",0
Exclusive deal: Get 40% cashback on every order. Join now!,1
Congratulations! You've won a $1000 Walmart gift card! Click here to claim your reward.,1
Reminder: The team lunch is scheduled for Monday at 3 PM.,0
Win a MacBook Pro! Just provide your phone number to enter the lottery.,1
Win a MacBook Pro! Just provide your shipping information to enter the lottery.,1
Reminder: The weekly sync is scheduled for Friday at 5 PM.,0
Congratulations! You've won a brand-new car! Click here to claim your reward.,1
Reminder: The team lunch is scheduled for Friday at 10 AM.,0
Exclusive deal: Get 30% cashback on every order. Join now!,1
"Hi Emily, the strategy session agenda is ready for review. Please share feedback.",0
"Hi Sarah, the weekly meeting agenda is ready for review. Please share feedback.",0
"Hi Jessica, the weekly meeting agenda is ready for review. Please share feedback.",0
Exclusive deal: Get 30% cashback on every transaction. Join now!,1
Win a MacBook Pro! Just provide your email address to enter the lottery.,1
"Hello team, the latest report has been uploaded to the shared drive.",0
Thank you for your purchase. Your package will arrive by tomorrow.,0
Congratulations! You've won a brand-new car! Click here to claim your voucher.,1
Congratulations! You've won a $1000 Walmart gift card! Click here to claim your promo code.,1
Your account is at risk! Verify your account immediately to secure it.,1
Win a iPhone 14! Just provide your shipping information to enter the lottery.,1
"Hi Emily, can you send me the financial report by tomorrow?",0
Congratulations! You've won a free vacation package! Click here to claim your promo code.,1
"Hi John, can you send me the status update by tomorrow?",0
Reminder: The team lunch is scheduled for Wednesday at 3 PM.,0
"Hi Emily, the team sync agenda is ready for review. Please share feedback.",0
"Hi Jessica, can you send me the financial report by tomorrow?",0
Win a iPhone 14! Just provide your email address to enter the lottery.,1
"Hi Mike, the strategy session agenda is ready for review. Please share feedback.",0
"Hi Mike, can you send me the financial report by tomorrow?",0
Limited time offer: limited time deal! Shop now before the deal expires.,1
Exclusive deal: Get 20% cashback on every purchase. Join now!,1
Limited time offer: 50% off! Shop now before the deal expires.,1
"Hi Emily, the weekly meeting agenda is ready for review. Please share feedback.",0
Thank you for your request. Your package will arrive by tomorrow.,0
Reminder: The weekly sync is scheduled for Friday at 3 PM.,0
Exclusive deal: Get 30% cashback on every purchase. Join now!,1
Reminder: The weekly sync is scheduled for Monday at 3 PM.,0
Exclusive deal: Get 20% cashback on every transaction. Join now!,1
Congratulations! You've won a free vacation package! Click here to claim your voucher.,1
Exclusive deal: Get 40% cashback on every purchase. Join now!,1
"Hi Sarah, the strategy session agenda is ready for review. Please share feedback.",0
Exclusive deal: Get 20% cashback on every order. Join now!,1
Congratulations! You've won a brand-new car! Click here to claim your promo code.,1
"Hello team, the updated document has been uploaded to the shared drive.",0
Congratulations! You've won a free vacation package! Click here to claim your reward.,1
Win a luxury watch! Just provide your shipping information to enter the lottery.,1
Reminder: The company meeting is scheduled for Wednesday at 3 PM.,0
"Hi Mike, the weekly meeting agenda is ready for review. Please share feedback.",0
